Sr_No,Carpet Area,Status,floor ,Transition type,Year Built,Price per sqft
862,203,Under Contract,multiple,Not Available,2024,1434
863,91,Active,multiple,Not Available,2013,1896
864,114,Available for Sale,multiple,Not Available,2017,1778
865,223,Under Contract,multiple,Not Available,2015,1328
866,107,Active,multiple,Not Available,2011,1396
867,325,Under Contract,multiple,Not Available,2016,1761
868,51,Available for Sale,multiple,Not Available,2009,1954
869,168,Active,multiple,Not Available,2021,2885
870,200,Under Contract,multiple,Not Available,2019,1976
871,163,Available for Sale,multiple,Not Available,2019,3216
872,206,Under Contract,multiple,Not Available,2020,3044
873,477,Active,multiple,Not Available,2018,2322
874,282,Available for Sale,multiple,Not Available,2004,2251
875,520,Under Contract,multiple,Not Available,2017,1224
876,130,Active,multiple,Not Available,2022,1713
877,128,Available for Sale,multiple,Not Available,2021,2316
878,54,Under Contract,multiple,Not Available,2010,1190
879,136,Active,multiple,Not Available,2007,1692
880,79,Under Contract,multiple,Not Available,2018,2776
881,113,Available for Sale,multiple,Not Available,2003,2915
882,47,Active,multiple,Not Available,2023,2612
883,45,Under Contract,multiple,Not Available,2022,2898
884,252,Available for Sale,multiple,Not Available,2020,1320
885,165,Under Contract,multiple,Not Available,2021,2856
886,117,Active,multiple,Not Available,2020,1476
887,68,Available for Sale,multiple,Not Available,2013,1861
888,402,Under Contract,multiple,Not Available,2006,1582
889,82,Active,multiple,Not Available,2017,1729
890,91,Available for Sale,multiple,Not Available,2007,2346
891,205,Under Contract,multiple,Not Available,2014,2845
892,325,Active,multiple,Not Available,2013,1826
893,46,Under Contract,multiple,Not Available,2021,1184
894,345,Available for Sale,multiple,Not Available,2023,1087
895,140,Active,multiple,Not Available,2010,1043
896,89,Under Contract,multiple,Not Available,2004,1397
897,282,Available for Sale,multiple,Not Available,2002,1953
898,99,Under Contract,multiple,Not Available,2015,964
899,103,Active,multiple,Not Available,2003,1036
900,200,Available for Sale,multiple,Not Available,2001,2047
901,224,Under Contract,multiple,Not Available,2003,1013
902,82,Active,multiple,Not Available,2011,1272
903,126,Available for Sale,multiple,Not Available,2009,1119
904,62,Under Contract,multiple,Not Available,2022,1654
905,110,Active,multiple,Not Available,2017,1405
906,54,Under Contract,multiple,Not Available,2013,1528
907,188,Available for Sale,multiple,Not Available,2007,1251
908,67,Active,multiple,Not Available,2016,1333
909,60,Under Contract,multiple,Not Available,2007,808
910,54,Available for Sale,multiple,Not Available,2013,2307
911,299,Under Contract,multiple,Not Available,2024,826
912,189,Active,multiple,Not Available,2021,1465
913,96,Available for Sale,multiple,Not Available,2020,1167
914,97,Under Contract,multiple,Not Available,2012,1376
915,431,Active,multiple,Not Available,2018,1520
916,386,Available for Sale,multiple,Not Available,2014,1281
917,144,Under Contract,multiple,Not Available,2009,1238
918,73,Active,multiple,Not Available,2018,1161
919,154,Under Contract,multiple,Not Available,2020,1458
920,152,Available for Sale,multiple,Not Available,2021,1520
921,234,Active,multiple,Not Available,2023,1299
922,109,Under Contract,multiple,Not Available,2016,880
923,111,Available for Sale,multiple,Not Available,2022,1520
924,152,Under Contract,multiple,Not Available,2015,1326
925,511,Active,multiple,Not Available,2017,1269
926,195,Available for Sale,multiple,Not Available,2002,2017
927,48,Under Contract,multiple,Not Available,2016,1203
928,56,Active,multiple,Not Available,2004,2931
929,96,Available for Sale,multiple,Not Available,2009,1724
930,78,Under Contract,multiple,Not Available,2009,960
931,82,Active,multiple,Not Available,2004,1424
932,55,Under Contract,multiple,Not Available,2021,3965
933,115,Available for Sale,multiple,Not Available,2010,3965
934,88,Active,multiple,Not Available,2006,2573
935,213,Under Contract,multiple,Not Available,2021,1521
936,252,Available for Sale,multiple,Not Available,2015,962
937,81,Under Contract,multiple,Not Available,2018,1622
938,92,Active,multiple,Not Available,2015,258
939,406,Available for Sale,multiple,Not Available,2007,3200
940,291,Under Contract,multiple,Not Available,2022,1372
941,57,Active,multiple,Not Available,2011,1677
942,63,Available for Sale,multiple,Not Available,2017,1677
943,269,Under Contract,multiple,Not Available,2003,2876
944,300,Active,multiple,Not Available,2015,2876
945,193,Under Contract,multiple,Not Available,2011,957
946,224,Available for Sale,multiple,Not Available,2021,774
947,74,Active,multiple,Not Available,2018,1336
948,134,Under Contract,multiple,Not Available,2004,896
949,132,Available for Sale,multiple,Not Available,2003,799
950,82,Under Contract,multiple,Not Available,2011,631
951,94,Active,multiple,Not Available,2023,614
952,228,Available for Sale,multiple,Not Available,2020,563
953,181,Under Contract,multiple,Not Available,2021,770
954,69,Active,multiple,Not Available,2004,927
955,69,Available for Sale,multiple,Not Available,2024,1022
956,58,Under Contract,multiple,Not Available,2022,994
957,210,Active,multiple,Not Available,2010,1047
958,140,Under Contract,multiple,Not Available,2023,1033
959,227,Available for Sale,multiple,Not Available,2015,1146
960,178,Active,multiple,Not Available,2021,1074
961,186,Under Contract,multiple,Not Available,2010,570
962,127,Available for Sale,multiple,Not Available,2018,1142
963,262,Under Contract,multiple,Not Available,2014,1912
964,171,Active,multiple,Not Available,2022,990
965,392,Available for Sale,multiple,Not Available,2011,660
966,307,Under Contract,multiple,Not Available,2013,753
967,242,Active,multiple,Not Available,2018,1560
968,62,Available for Sale,multiple,Not Available,2019,504
969,51,Under Contract,multiple,Not Available,2008,720
970,144,Active,multiple,Not Available,2020,1199
971,152,Under Contract,multiple,Not Available,2020,4056
972,175,Available for Sale,multiple,Not Available,2018,1800
973,59,Active,multiple,Not Available,2005,1636
974,104,Under Contract,multiple,Not Available,2002,1573
975,116,Available for Sale,multiple,Not Available,2017,1573
976,122,Under Contract,multiple,Not Available,2021,1573
977,77,Active,multiple,Not Available,2007,1571
978,222,Available for Sale,multiple,Not Available,2011,2188
979,103,Under Contract,multiple,Not Available,2014,1434
980,162,Active,multiple,Not Available,2013,1896
981,204,Available for Sale,multiple,Not Available,2007,1778
982,73,Under Contract,multiple,Not Available,2024,1328
983,306,Active,multiple,Not Available,2023,1396
984,177,Under Contract,multiple,Not Available,2020,1761
985,134,Available for Sale,multiple,Not Available,2013,1954
986,169,Active,multiple,Not Available,2004,2885
987,271,Under Contract,multiple,Not Available,2011,1976
988,243,Available for Sale,multiple,Not Available,2013,3216
989,85,Under Contract,multiple,Not Available,2003,3044
990,63,Active,multiple,Not Available,2004,2322
991,94,Available for Sale,multiple,Not Available,2012,2251
992,88,Under Contract,multiple,Not Available,2015,1224
993,150,Active,multiple,Not Available,2020,1713
994,250,Available for Sale,multiple,Not Available,2006,2316
995,78,Under Contract,multiple,Not Available,2010,1190
996,63,Active,multiple,Not Available,2017,1692
997,175,Under Contract,multiple,Not Available,2004,2776
998,81,Available for Sale,multiple,Not Available,2010,2915
999,56,Active,multiple,Not Available,2016,2612
1000,60,Under Contract,multiple,Not Available,2014,2898
1001,57,Available for Sale,multiple,Not Available,2018,1320
1002,123,Under Contract,multiple,Not Available,2007,2856
1003,139,Active,multiple,Not Available,2013,1476
1004,43,Available for Sale,multiple,Not Available,2017,1861
1005,127,Under Contract,multiple,Not Available,2018,1544
1006,70,Active,multiple,Not Available,2023,1729
1007,112,Available for Sale,multiple,Not Available,2015,2346
1008,267,Under Contract,multiple,Not Available,2006,2845
1009,92,Active,multiple,Not Available,2006,1826
1010,103,Under Contract,multiple,Not Available,2020,1184
1011,132,Available for Sale,multiple,Not Available,2001,1087
1012,345,Active,multiple,Not Available,2004,1043
1013,79,Under Contract,multiple,Not Available,2007,1397
1014,171,Available for Sale,multiple,Not Available,2018,1953
1015,140,Under Contract,multiple,Not Available,2019,964
1016,189,Active,multiple,Not Available,2008,1036
1017,215,Available for Sale,three floors,Not Available,2001,2047
1018,59,Under Contract,three floors,Not Available,2012,1013
1019,164,Active,three floors,Not Available,2013,1272
1020,358,Available for Sale,three floors,Not Available,2001,1119
1021,106,Under Contract,three floors,Not Available,2015,1654
1022,257,Active,five floors,Not Available,2007,1405
1023,136,Under Contract,multiple,Not Available,2006,1528
1024,246,Available for Sale,multiple,Not Available,2020,1251
1025,199,Active,multiple,Not Available,2019,1333
1026,54,Under Contract,multiple,Not Available,2017,808
1027,254,Available for Sale,multiple,Not Available,2024,2307
1028,247,Under Contract,multiple,Not Available,2021,826
1029,196,Active,multiple,Not Available,2013,1465
1030,117,Available for Sale,multiple,Not Available,2017,1167
1031,231,Under Contract,multiple,Not Available,2011,1376
1032,82,Active,multiple,Not Available,2011,1520
1033,98,Available for Sale,multiple,Not Available,2024,1281
1034,156,Under Contract,multiple,Not Available,2014,1238
1035,156,Active,multiple,Not Available,2022,1161
1036,156,Under Contract,multiple,Not Available,2014,1458
1037,156,Available for Sale,multiple,Not Available,2021,1520
1038,156,Active,multiple,Not Available,2023,1299
1039,156,Under Contract,multiple,Not Available,2017,880
1040,156,Available for Sale,multiple,Not Available,2016,1520
1041,156,Under Contract,multiple,Not Available,2005,1326
1042,156,Active,multiple,Not Available,2023,1269
1043,156,Available for Sale,multiple,Not Available,2021,2017
1044,156,Under Contract,multiple,Not Available,2020,1203
1045,156,Active,multiple,Not Available,2010,2931
1046,156,Available for Sale,multiple,Not Available,2017,1724
1047,156,Under Contract,multiple,Not Available,2016,960
1048,156,Active,multiple,Not Available,2003,1424
1049,155,Under Contract,multiple,Not Available,2012,3965
1050,155,Available for Sale,multiple,Not Available,2008,3965
1051,155,Active,multiple,Not Available,2024,2573
1052,155,Under Contract,multiple,Not Available,2015,1521
1053,155,Available for Sale,multiple,Not Available,2002,962
1054,155,Under Contract,multiple,Not Available,2018,1622
1055,155,Active,multiple,Not Available,2001,258
1056,155,Available for Sale,multiple,Not Available,2000,3200
1057,155,Under Contract,multiple,Not Available,2010,1372
1058,155,Active,multiple,Not Available,2020,1677
1059,155,Available for Sale,multiple,Not Available,2012,1677
1060,155,Under Contract,multiple,Not Available,2005,2876
1061,155,Active,multiple,Not Available,2003,2573
1062,155,Under Contract,multiple,Not Available,2020,1521
1063,155,Available for Sale,multiple,Not Available,2005,962
1064,155,Active,multiple,Not Available,2005,1622
1065,155,Under Contract,multiple,Not Available,2013,258
1066,155,Available for Sale,multiple,Not Available,2013,3200
1067,155,Under Contract,multiple,Not Available,2011,1372
1068,155,Active,multiple,Not Available,2023,1677
1069,155,Available for Sale,multiple,Not Available,2010,1558
1070,908,Under Contract,multiple,Not Available,2002,39669
1071,1276,Active,multiple,Not Available,2009,17341
1072,1499,Available for Sale,multiple,Not Available,2021,17509
1073,563,Under Contract,multiple,Not Available,2003,26666
1074,694,Active,multiple,Not Available,2009,11783
1075,503,Under Contract,multiple,Not Available,2023,29104
1076,600,Available for Sale,multiple,Not Available,2022,21875
1077,938,Active,multiple,Not Available,2003,36000
1078,863,Under Contract,multiple,Not Available,2012,26086
1079,426,Available for Sale,multiple,Not Available,2002,17359
1080,600,Under Contract,multiple,Not Available,2004,37500
1081,975,Active,multiple,Not Available,2011,6875
1082,1800,Available for Sale,multiple,Not Available,2021,7500
1083,390,Under Contract,multiple,Not Available,2013,20000
1084,600,Active,multiple,Not Available,2018,56250
1085,1800,Available for Sale,multiple,Not Available,2017,18750
1086,194,Under Contract,multiple,Not Available,2015,8103
1087,1010,Active,multiple,Not Available,2024,22130
1088,1425,Under Contract,multiple,Not Available,2007,18421
1089,900,Available for Sale,multiple,Not Available,2002,10000
1090,588,Active,multiple,Not Available,2009,7020
1091,720,Under Contract,multiple,Not Available,2017,19583
1092,900,Available for Sale,multiple,Not Available,2013,40000
1093,563,Under Contract,multiple,Not Available,2006,56666
1094,638,Active,multiple,Not Available,2005,65217
1095,552,Available for Sale,two floors,Not Available,2012,39147
1096,563,Under Contract,three floors,Not Available,2016,18421
1097,1425,Active,two floors,Not Available,2002,14583
1098,1800,Available for Sale,two floors,Not Available,2021,14917
1099,900,Under Contract,two floors,Not Available,2010,12125
1100,1208,Active,two floors,Not Available,2008,20069
1101,656,Under Contract,two floors,Not Available,2020,15929
1102,848,Available for Sale,three floors,Not Available,2013,15000
1103,1500,Active,three floors,Not Available,2015,25703
1104,1311,Under Contract,three floors,Not Available,2016,10416
1105,2700,Available for Sale,three floors,Not Available,2005,13043
1106,1725,Under Contract,three floors,Not Available,2010,9722
1107,1350,Active,three floors,Not Available,2001,11320
1108,1988,Available for Sale,three floors,Not Available,2022,225000
1109,600,Under Contract,three floors,Not Available,2023,330000
1110,450,Active,three floors,Not Available,2020,11250
1111,3000,Available for Sale,three floors,Not Available,2015,15000
1112,1500,Under Contract,three floors,Not Available,2020,25000
1113,1350,Active,three floors,Not Available,2020,12333
1114,675,Under Contract,three floors,Not Available,2006,10000
1115,450,Available for Sale,three floors,Not Available,2017,11375
1116,600,Active,three floors,Not Available,2012,10833
1117,900,Under Contract,three floors,Not Available,2012,15625
1118,2400,Available for Sale,three floors,Not Available,2022,17000
1119,750,Under Contract,three floors,Not Available,2023,17000
1120,825,Active,multiple,Not Available,2018,69013
1121,1350,Available for Sale,multiple,Not Available,2022,113889
1122,2775,Under Contract,multiple,Not Available,2009,88889
1123,1500,Active,multiple,Not Available,2003,12640
1124,713,Available for Sale,multiple,Not Available,2019,60000
1125,1125,Under Contract,multiple,Not Available,2019,77778
1126,900,Active,multiple,Not Available,2020,25000
1127,1200,Under Contract,multiple,Not Available,2022,41667
1128,1388,Available for Sale,multiple,Not Available,2011,12700
1129,735,Active,multiple,Not Available,2022,62893
1130,1350,Under Contract,multiple,Not Available,2017,13636
1131,1725,Available for Sale,multiple,Not Available,2013,74786
1132,600,Under Contract,multiple,Not Available,2009,102564
1133,675,Active,multiple,Not Available,2002,68571
1134,600,Available for Sale,multiple,Not Available,2023,22222
1135,638,Under Contract,multiple,Not Available,2007,11026
1136,540,Active,multiple,Not Available,2023,61975
1137,6000,Available for Sale,multiple,Not Available,2014,26444
1138,1125,Under Contract,multiple,Not Available,2012,50000
1139,1800,Active,multiple,Not Available,2006,55556
1140,1350,Under Contract,multiple,Not Available,2001,27692
1141,1500,Available for Sale,multiple,Not Available,2012,12966
1142,938,Active,multiple,Not Available,2023,125000
1143,2250,Under Contract,multiple,Not Available,2008,20000
1144,1350,Available for Sale,multiple,Not Available,2020,20202
1145,900,Under Contract,multiple,Not Available,2011,6304
1146,2400,Active,multiple,Not Available,2006,28235
1147,750,Available for Sale,multiple,Not Available,2018,9375
1148,825,Under Contract,multiple,Not Available,2024,58333
1149,825,Active,multiple,Not Available,2013,61111
1150,1050,Available for Sale,multiple,Not Available,2023,23625
1151,13159,Under Contract,multiple,Not Available,2019,14625
1152,1511,Active,multiple,Not Available,2023,195
1153,334,Under Contract,multiple,Not Available,2003,5175
1154,10631,Available for Sale,multiple,Not Available,2017,4125
1155,3003,Active,multiple,Not Available,2015,5175
1156,2184,Under Contract,multiple,Not Available,2011,674625
1157,24750,Available for Sale,multiple,Not Available,2003,126
1158,563,Under Contract,multiple,Not Available,2020,19875
1159,734,Active,multiple,Not Available,2020,33
1160,638,Available for Sale,multiple,Not Available,2018,28125
1161,872,Under Contract,multiple,Not Available,2021,517125
1162,2184,Active,multiple,Not Available,2015,19425
1163,2184,Available for Sale,multiple,Not Available,2002,32250
1164,2184,Under Contract,multiple,Not Available,2012,67125
1165,750,Active,multiple,Not Available,2006,41175
1166,1301,Under Contract,multiple,Not Available,2005,73125
1167,244,Available for Sale,multiple,Not Available,2018,14925
1168,525,Active,multiple,Not Available,2008,26250
1169,731,Under Contract,multiple,Not Available,2002,44925
1170,945,Available for Sale,multiple,Not Available,2020,47999925
1171,933,Under Contract,multiple,Not Available,2013,975
1172,2128,Active,multiple,Not Available,2011,825
1173,488,Available for Sale,multiple,Not Available,2017,2623875
1174,998,Under Contract,multiple,Not Available,2002,56250
1175,1650,Active,multiple,Not Available,2015,126750
1176,2184,Available for Sale,multiple,Not Available,2007,24375
1177,4253,Under Contract,multiple,Not Available,2024,168750
1178,2367,Active,multiple,Not Available,2013,17250
1179,2063,Under Contract,multiple,Not Available,2001,99750
1180,596,Available for Sale,multiple,Not Available,2012,574125
1181,3780,Active,multiple,Not Available,2018,20325
1182,1560,Under Contract,multiple,Not Available,2011,81250
1183,563,Available for Sale,multiple,Not Available,2004,636
1184,452,Under Contract,multiple,Not Available,2012,20850
1185,2367,Active,multiple,Not Available,2013,396
1186,2184,Available for Sale,multiple,Not Available,2011,99750
1187,611,Under Contract,multiple,Not Available,2021,22575
1188,2468,Active,multiple,Not Available,2010,951
1189,2290,Available for Sale,multiple,Not Available,2021,9765
1190,2400,Under Contract,multiple,Not Available,2022,1715
1191,1845,Active,multiple,Not Available,2018,5375
1192,2184,Under Contract,multiple,Not Available,2011,315
1193,2184,Available for Sale,multiple,Not Available,2017,24885
1194,1193,Active,multiple,Not Available,2014,116991
1195,1800,Under Contract,multiple,Not Available,2021,275
1196,2184,Available for Sale,multiple,Not Available,2022,119625
1197,628,Under Contract,multiple,Not Available,2014,62250
1198,1140,Active,multiple,Not Available,2012,13425
1199,2184,Available for Sale,multiple,Not Available,2010,123750
1200,1902,Under Contract,multiple,Not Available,2013,123750
1201,675,Active,multiple,Not Available,2002,971250
1202,2054,Available for Sale,multiple,Not Available,2024,43125
1203,975,Under Contract,multiple,Not Available,2023,1875
1204,950,Active,multiple,Not Available,2017,71250
1205,1916,Under Contract,multiple,Not Available,2016,142500
1206,1800,Available for Sale,multiple,Not Available,2007,109125
1207,1800,Active,multiple,Not Available,2018,26175
1208,1464,Under Contract,multiple,Not Available,2009,48075
1209,2184,Available for Sale,multiple,Not Available,2007,13425
1210,600,Under Contract,multiple,Not Available,2011,69990
1211,626,Active,multiple,Not Available,2022,325
1212,772,Available for Sale,multiple,Not Available,2013,76725
1213,901,Under Contract,multiple,Not Available,2011,186000
1214,887,Active,multiple,Not Available,2018,153750
1215,2184,Available for Sale,multiple,Not Available,2017,73125
1216,1050,Under Contract,multiple,Not Available,2004,1755
1217,2835,Active,multiple,Not Available,2008,3876
1218,11400,Under Contract,multiple,Not Available,2016,110250
1219,1060,Available for Sale,multiple,Not Available,2010,68750
1220,602,Active,multiple,Not Available,2001,166350
1221,836,Under Contract,multiple,Not Available,2010,31
1222,1763,Available for Sale,multiple,Not Available,2019,19125
1223,1613,Under Contract,multiple,Not Available,2013,696
1224,2184,Active,multiple,Not Available,2011,77175
1225,3369,Available for Sale,multiple,Not Available,2022,288
1226,2184,Under Contract,multiple,Not Available,2017,53775
1227,2184,Active,multiple,Not Available,2006,129825
1228,2184,Available for Sale,multiple,Not Available,2016,97425
1229,799,Under Contract,multiple,Not Available,2012,18
1230,799,Active,multiple,Not Available,2019,464916
1231,2508,Under Contract,multiple,Not Available,2002,10425
1232,1667,Available for Sale,multiple,Not Available,2011,1500000
1233,2184,Active,multiple,Not Available,2004,18375
1234,2538,Under Contract,multiple,Not Available,2017,75825
1235,825,Available for Sale,multiple,Not Available,2016,275
1236,2184,Under Contract,multiple,Not Available,2015,49875
1237,987,Active,multiple,Not Available,2014,113550
1238,469,Available for Sale,multiple,Not Available,2015,23520
1239,466,Under Contract,multiple,Not Available,2019,148125
1240,1179,Active,multiple,Not Available,2022,57000
1241,750,Available for Sale,multiple,Not Available,2024,68250
1242,2184,Under Contract,multiple,Not Available,2003,232875
1243,1890,Active,multiple,Not Available,2019,85035
1244,825,Under Contract,multiple,Not Available,2015,4098
1245,1496,Available for Sale,multiple,Not Available,2022,27075
1246,2184,Active,multiple,Not Available,2005,172500
1247,1789,Under Contract,multiple,Not Available,2022,184125
1248,9000,Available for Sale,multiple,Not Available,2008,7215
1249,750,Under Contract,multiple,Not Available,2007,1676
1250,1080,Active,multiple,Not Available,2001,1635
1251,1050,Available for Sale,multiple,Not Available,2016,39375
1252,2184,Under Contract,multiple,Not Available,2019,82500
1253,2184,Active,multiple,Not Available,2008,78000
1254,2250,Available for Sale,multiple,Not Available,2012,37080
1255,2646,Under Contract,multiple,Not Available,2007,47580
1256,734,Active,multiple,Not Available,2015,2500
1257,2184,Under Contract,multiple,Not Available,2020,28050
1258,3540,Available for Sale,multiple,Not Available,2000,79950
1259,2969,Active,multiple,Not Available,2003,82500
1260,1020,Under Contract,multiple,Not Available,2010,28700
1261,2135,Available for Sale,multiple,Not Available,2009,55275
1262,1485,Under Contract,multiple,Not Available,2012,2500
1263,2184,Active,multiple,Not Available,2014,62925
1264,1485,Available for Sale,multiple,Not Available,2003,49455
1265,2184,Under Contract,multiple,Not Available,2010,49455
1266,2184,Active,multiple,Not Available,2001,299999
1267,2184,Available for Sale,multiple,Not Available,2023,18750
1268,918,Under Contract,multiple,Not Available,2010,130500
1269,2457,Active,multiple,Not Available,2009,48750
1270,2184,Under Contract,multiple,Not Available,2014,12300
1271,1142,Available for Sale,multiple,Not Available,2013,19620
1272,1481,Active,multiple,Not Available,2003,48450
1273,817,Under Contract,multiple,Not Available,2014,28200
1274,2028,Available for Sale,multiple,Not Available,2014,75000
1275,4124,Under Contract,multiple,Not Available,2017,1500
1276,725,Active,multiple,Not Available,2013,238500
1277,900,Available for Sale,multiple,Not Available,2004,98000
1278,2184,Under Contract,multiple,Not Available,2000,58500
1279,473,Active,multiple,Not Available,2002,136850
1280,2184,Available for Sale,multiple,Not Available,2017,18750
1281,525,Under Contract,multiple,Not Available,2012,13550
1282,4131,Active,multiple,Not Available,2019,18750
1283,2805,Under Contract,multiple,Not Available,2006,13550
1284,1495,Available for Sale,multiple,Not Available,2021,15675
1285,887,Active,multiple,Not Available,2014,18975
1286,1320,Under Contract,multiple,Not Available,2011,372000
1287,2349,Available for Sale,multiple,Not Available,2008,82500
1288,4819,Under Contract,multiple,Not Available,2001,23175
1289,495,Active,multiple,Not Available,2022,48750
1290,18000,Available for Sale,multiple,Not Available,2012,59925
1291,1229,Under Contract,multiple,Not Available,2021,19425
1292,1346,Active,multiple,Not Available,2009,89910
1293,368,Available for Sale,multiple,Not Available,2020,8000
1294,2184,Under Contract,multiple,Not Available,2022,199995
1295,338,Active,multiple,Not Available,2017,22425
1296,2184,Under Contract,multiple,Not Available,2004,2145
1297,2184,Available for Sale,multiple,Not Available,2006,19425
1298,2184,Active,multiple,Not Available,2012,19425
1299,2184,Under Contract,multiple,Not Available,2022,9712
1300,849,Available for Sale,multiple,Not Available,2006,23493
1301,1683,Under Contract,multiple,Not Available,2008,19655
1302,2625,Active,multiple,Not Available,2022,455750
1303,863,Available for Sale,multiple,Not Available,2012,1100000
1304,2363,Under Contract,multiple,Not Available,2002,24675
1305,1162,Active,multiple,Not Available,2004,55125
1306,1688,Available for Sale,multiple,Not Available,2011,203100
1307,2184,Under Contract,multiple,Not Available,2007,19125
1308,2184,Active,multiple,Not Available,2020,15337
1309,1500,Under Contract,multiple,Not Available,2008,38250
1310,2184,Available for Sale,multiple,Not Available,2016,205800
1311,6250,Active,multiple,Not Available,2010,79625
1312,2268,Under Contract,multiple,Not Available,2020,15375
1313,4500,Available for Sale,multiple,Not Available,2019,221000
1314,2184,Under Contract,multiple,Not Available,2013,38250
1315,2184,Active,multiple,Not Available,2021,227750
1316,1800,Available for Sale,multiple,Not Available,2017,5490
1317,929,Under Contract,multiple,Not Available,2011,1287
1318,2184,Active,multiple,Not Available,2013,38700
1319,1419,Available for Sale,multiple,Not Available,2019,12225
1320,2268,Under Contract,multiple,Not Available,2016,79980
1321,2184,Active,multiple,Not Available,2013,21875
1322,1088,Under Contract,multiple,Not Available,2018,32700
1323,1500,Available for Sale,multiple,Not Available,2012,3285
1324,2016,Active,multiple,Not Available,2023,12600
1325,1539,Under Contract,multiple,Not Available,2017,18375
1326,1575,Available for Sale,multiple,Not Available,2000,174999
1327,2184,Under Contract,multiple,Not Available,2007,151200
1328,1307,Active,multiple,Not Available,2020,65000
1329,7937,Available for Sale,multiple,Not Available,2019,90000
1330,2184,Under Contract,multiple,Not Available,2001,599999
1331,1338,Active,multiple,Not Available,2023,18750
1332,563,Available for Sale,multiple,Not Available,2009,28755
1333,372,Under Contract,multiple,Not Available,2005,93750
1334,990,Active,multiple,Not Available,2020,175500
1335,2015,Under Contract,multiple,Not Available,2003,20625
1336,173,Available for Sale,multiple,Not Available,2014,38775
1337,2184,Active,multiple,Not Available,2004,1492
1338,2184,Under Contract,multiple,Not Available,2008,11025
1339,1688,Available for Sale,multiple,Not Available,2016,3750
1340,3075,Under Contract,multiple,Not Available,2005,19000
1341,1881,Active,multiple,Not Available,2002,7000
1342,2184,Available for Sale,multiple,Not Available,2015,5000
1343,936,Under Contract,multiple,Not Available,2021,3960
1344,1080,Active,multiple,Not Available,2023,299999
1345,648,Available for Sale,multiple,Not Available,2005,11812
1346,619,Under Contract,multiple,Not Available,2017,114000
1347,2184,Active,multiple,Not Available,2012,23100
1348,5016,Under Contract,multiple,Not Available,2020,16100
1349,440,Available for Sale,multiple,Not Available,2009,34900
1350,2184,Active,multiple,Not Available,2008,5750
1351,2025,Under Contract,multiple,Not Available,2003,162000
1352,594,Available for Sale,multiple,Not Available,2022,2776
1353,2184,Under Contract,multiple,Not Available,2008,27500
1354,2184,Active,multiple,Not Available,2010,7500
1355,2184,Available for Sale,multiple,Not Available,2003,187000
1356,938,Under Contract,multiple,Not Available,2014,19635
1357,756,Active,multiple,Not Available,2011,8872
1358,1054,Available for Sale,multiple,Not Available,2011,4995
1359,5100,Under Contract,multiple,Not Available,2018,93775
1360,2184,Active,multiple,Not Available,2015,59250
1361,2639,Under Contract,multiple,Not Available,2019,875
1362,2184,Under Contract,multiple,Not Available,2011,23775
1363,2184,Active,multiple,Not Available,2015,12525
1364,2184,Available for Sale,multiple,Not Available,2010,37500
1365,2184,Under Contract,multiple,Not Available,2016,48225
1366,1054,Active,multiple,Not Available,2013,31200
1367,2639,Under Contract,multiple,Not Available,2017,169875
1368,1110,Available for Sale,multiple,Not Available,2000,99750
1369,2184,Active,multiple,Not Available,2014,99750
1370,2184,Under Contract,multiple,Not Available,2000,99750
1371,8729,Available for Sale,multiple,Not Available,2002,45000
1372,731,Under Contract,multiple,Not Available,2012,12300
1373,675,Active,multiple,Not Available,2007,19620
1374,2358,Available for Sale,multiple,Not Available,2022,48750
1375,2100,Under Contract,multiple,Not Available,2001,100000
1376,1350,Active,multiple,Not Available,2007,12075
1377,1161,Available for Sale,multiple,Not Available,2010,179000
1378,2184,Under Contract,multiple,Not Available,2012,136125
1379,960,Active,multiple,Not Available,2017,28000
1380,2184,Under Contract,multiple,Not Available,2015,18600
1381,525,Available for Sale,multiple,Not Available,2005,90000
1382,634,Active,multiple,Not Available,2005,36750
1383,1313,Under Contract,multiple,Not Available,2002,90000
1384,1013,Available for Sale,multiple,Not Available,2005,899999
1385,750,Under Contract,multiple,Not Available,2008,26925
1386,2184,Active,multiple,Not Available,2017,36000
1387,2250,Available for Sale,multiple,Not Available,2011,12500
1388,1032,Under Contract,multiple,Not Available,2015,238500
1389,615,Active,multiple,Not Available,2013,84000
1390,2762,Available for Sale,multiple,Not Available,2022,149800
1391,2184,Under Contract,multiple,Not Available,2016,588000
1392,943,Active,multiple,Not Available,2018,3300000
1393,936,Under Contract,multiple,Not Available,2022,479000
1394,966,Available for Sale,multiple,Not Available,2021,169999
1395,1050,Active,multiple,Not Available,2018,439000
1396,2184,Under Contract,multiple,Not Available,2002,758000
1397,4870,Available for Sale,multiple,Not Available,2001,448000
1398,460,Under Contract,multiple,Not Available,2018,588000
1399,2184,Active,multiple,Not Available,2015,2977000
1400,638,Available for Sale,multiple,Not Available,2003,385000
1401,1160,Under Contract,multiple,Not Available,2024,1475000
1402,465,Active,multiple,Not Available,2001,978000
1403,443,Available for Sale,multiple,Not Available,2009,2700000
1404,2184,Under Contract,multiple,Not Available,2017,3500000
1405,2184,Active,multiple,Not Available,2022,349000
1406,461,Under Contract,multiple,Not Available,2010,790000
1407,2184,Available for Sale,multiple,Not Available,2024,750000
1408,1083,Active,multiple,Not Available,2009,1195000
1409,2184,Under Contract,multiple,Not Available,2007,1750000
